Clark Y
 1.00000  0.00130
 0.99572  0.00180
 0.98296  0.00338
 0.96194  0.00623
 0.93301  0.01039
 0.89668  0.01567
 0.85355  0.02177
 0.80438  0.02830
 0.75000  0.03500
 0.69134  0.04137
 0.62941  0.04703
 0.56526  0.05167
 0.50000  0.05515
 0.43474  0.05727
 0.37059  0.05788
 0.30866  0.05686
 0.25000  0.05424
 0.19562  0.05005
 0.14645  0.04445
 0.10332  0.03770
 0.06699  0.03014
 0.03806  0.02209
 0.01704  0.01412
 0.00428  0.00673
 0.00000  0.00000
 0.00428 -0.00494
 0.01704 -0.00750
 0.03806 -0.00870
 0.06699 -0.00921
 0.10332 -0.00922
 0.14645 -0.00882
 0.19562 -0.00815
 0.25000 -0.00727
 0.30866 -0.00627
 0.37059 -0.00519
 0.43474 -0.00410
 0.50000 -0.00310
 0.56526 -0.00227
 0.62941 -0.00163
 0.69134 -0.00115
 0.75000 -0.00080
 0.80438 -0.00055
 0.85355 -0.00038
 0.89668 -0.00026
 0.93301 -0.00017
 0.96194 -0.00010
 0.98296 -0.00005
 0.99572 -0.00002
 1.00000  0.00000
