Eppler E423
 1.00000  0.00000
 0.99582  0.00123
 0.98341  0.00463
 0.96314  0.00991
 0.93549  0.01676
 0.90106  0.02492
 0.86054  0.03408
 0.81470  0.04399
 0.76437  0.05432
 0.71044  0.06474
 0.65385  0.07487
 0.59558  0.08430
 0.53660  0.09261
 0.47791  0.09933
 0.42048  0.10400
 0.36527  0.10628
 0.31318  0.10597
 0.26503  0.10310
 0.22151  0.09792
 0.18318  0.09086
 0.15043  0.08236
 0.12346  0.07294
 0.10226  0.06309
 0.08661  0.05321
 0.07607  0.04366
 0.06993  0.03468
 0.06720  0.02648
 0.06655  0.01910
 0.06625  0.01237
 0.06419  0.00603
 0.05831  0.00019
 0.04791 -0.00445
 0.03462 -0.00716
 0.02176 -0.00808
 0.01118 -0.00744
 0.00402 -0.00518
 0.00000  0.00000
 0.00598  0.00863
 0.01625  0.01641
 0.03151  0.02498
 0.05191  0.03422
 0.07726  0.04361
 0.10740  0.05270
 0.14222  0.06110
 0.18165  0.06843
 0.22558  0.07444
 0.27387  0.07890
 0.32631  0.08164
 0.38261  0.08257
 0.44236  0.08159
 0.50500  0.07872
 0.56979  0.07407
 0.63580  0.06782
 0.70085  0.06019
 0.76241  0.05148
 0.81788  0.04207
 0.86569  0.03239
 0.90549  0.02308
 0.93802  0.01484
 0.96337  0.00835
 0.98208  0.00384
 0.99443  0.00116
 1.00000  0.00000
