Selig S1223
 1.00000  0.00000
 0.99675  0.00102
 0.98728  0.00382
 0.97192  0.00812
 0.95112  0.01369
 0.92534  0.02038
 0.89508  0.02802
 0.86093  0.03650
 0.82347  0.04565
 0.78331  0.05530
 0.74107  0.06524
 0.69737  0.07524
 0.65282  0.08505
 0.60800  0.09440
 0.56346  0.10301
 0.51970  0.11058
 0.47720  0.11680
 0.43637  0.12136
 0.39756  0.12396
 0.36103  0.12438
 0.32702  0.12272
 0.29566  0.11919
 0.26703  0.11413
 0.24116  0.10789
 0.21805  0.10080
 0.19766  0.09316
 0.17989  0.08519
 0.16464  0.07713
 0.15174  0.06915
 0.14100  0.06141
 0.13220  0.05404
 0.12507  0.04715
 0.11029  0.03471
 0.09898  0.02516
 0.09032  0.01832
 0.08337  0.01362
 0.07706  0.00997
 0.07025  0.00665
 0.06197  0.00330
 0.05246  0.00014
 0.04227 -0.00253
 0.03203 -0.00460
 0.02234 -0.00607
 0.01379 -0.00706
 0.00690 -0.00737
 0.00197 -0.00599
 0.00000  0.00000
 0.00393  0.00773
 0.01122  0.01411
 0.02187  0.02111
 0.03548  0.02862
 0.05171  0.03640
 0.07027  0.04424
 0.09088  0.05181
 0.11332  0.05907
 0.13741  0.06583
 0.16300  0.07201
 0.19001  0.07753
 0.21837  0.08227
 0.24803  0.08617
 0.27898  0.08910
 0.31121  0.09100
 0.34474  0.09171
 0.37958  0.09113
 0.41574  0.08923
 0.45322  0.08605
 0.49200  0.08169
 0.53200  0.07629
 0.57312  0.07001
 0.61519  0.06305
 0.65800  0.05559
 0.70130  0.04779
 0.74479  0.03985
 0.78810  0.03195
 0.83081  0.02429
 0.87141  0.01720
 0.90828  0.01106
 0.93979  0.00629
 0.96434  0.00316
 0.98143  0.00135
 0.99187  0.00039
 1.00000  0.00000
